miRNA,Gene
hsa-miR-16-5p,CCND3
hsa-miR-1909-3p,CCND3
hsa-miR-195-5p,CCND3
hsa-miR-218-5p,CCND3
hsa-miR-27b-3p,CCND3
hsa-miR-28-5p,CCND3
hsa-miR-324-5p,CCND3
hsa-miR-34a-5p,CCND3
hsa-miR-424-5p,CCND3
hsa-miR-497-5p,CCND3
hsa-miR-503-5p,CCND3
hsa-miR-615-3p,CCND3
hsa-miR-708-5p,CCND3
hsa-miR-765,CCND3
hsa-miR-106b-5p,CDC42
hsa-miR-133a-3p,CDC42
hsa-miR-133b,CDC42
hsa-miR-137,CDC42
hsa-miR-185-5p,CDC42
hsa-miR-195-5p,CDC42
hsa-miR-204-5p,CDC42
hsa-miR-216a-5p,CDC42
hsa-miR-224-5p,CDC42
hsa-miR-29a-3p,CDC42
hsa-miR-29b-3p,CDC42
hsa-miR-29c-3p,CDC42
hsa-miR-330-3p,CDC42
hsa-miR-375,CDC42
hsa-miR-484,CDC42
hsa-miR-608,CDC42
hsa-miR-122-5p,CDK4
hsa-miR-124-3p,CDK4
hsa-miR-125a-3p,CDK4
hsa-miR-1306-3p,CDK4
hsa-miR-1307-3p,CDK4
hsa-miR-130a-3p,CDK4
hsa-miR-130b-3p,CDK4
hsa-miR-145-5p,CDK4
hsa-miR-155-5p,CDK4
hsa-miR-15b-5p,CDK4
hsa-miR-193b-3p,CDK4
hsa-miR-195-5p,CDK4
hsa-miR-206,CDK4
hsa-miR-216a-5p,CDK4
hsa-miR-216b-5p,CDK4
hsa-miR-24-3p,CDK4
hsa-miR-25-3p,CDK4
hsa-miR-29a-3p,CDK4
hsa-miR-301a-3p,CDK4
hsa-miR-302a-3p,CDK4
hsa-miR-320a,CDK4
hsa-miR-34a-5p,CDK4
hsa-miR-34b-3p,CDK4
hsa-miR-34c-5p,CDK4
hsa-miR-3934-5p,CDK4
hsa-miR-4284,CDK4
hsa-miR-431-5p,CDK4
hsa-miR-449a,CDK4
hsa-miR-449b-5p,CDK4
hsa-miR-454-3p,CDK4
hsa-miR-483-3p,CDK4
hsa-miR-497-5p,CDK4
hsa-miR-504-3p,CDK4
hsa-miR-506-3p,CDK4
hsa-miR-545-3p,CDK4
hsa-miR-548a-5p,CDK4
hsa-miR-548ak,CDK4
hsa-miR-548am-5p,CDK4
hsa-miR-548ar-5p,CDK4
hsa-miR-548c-5p,CDK4
hsa-miR-548d-5p,CDK4
hsa-miR-548h-5p,CDK4
hsa-miR-548i,CDK4
hsa-miR-548j-5p,CDK4
hsa-miR-548o-5p,CDK4
hsa-miR-548y,CDK4
hsa-miR-616-3p,CDK4
hsa-miR-640,CDK4
hsa-miR-764,CDK4
hsa-miR-766-3p,CDK4
hsa-miR-1301-3p,CFL1
hsa-miR-193b-3p,CFL1
hsa-miR-324-5p,CFL1
hsa-miR-34a-5p,CFL1
hsa-miR-484,CFL1
